subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,64,26-59,22-65;26-62;27-53;20-57;35-56;22-57,27-53,2.25,90,3,896.1965171,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,65,27-53,18-55;23-54;28-61;27-55;34-47;19-55,34-47,2.43,95,5,902.683594,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,66,34-47,32-48;27-49;36-56;34-39;28-54;32-54,27-49,4.47,90,-5,911.2167204,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,67,27-49,32-41;28-48;23-45;20-44;28-51;32-44,28-51,2.06,91,1,917.3488986,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,68,28-51,30-42;29-59;27-53;25-45;27-54;20-54,27-54,2.0,90,-1,923.4163232999999,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,69,27-54,30-59;23-60;25-51;27-58;28-61;24-60,27-58,2.27,89,-1,929.7383208999998,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,70,27-58,36-60;28-56;27-55;30-54;32-51;26-50,30-54,1.68,92,3,935.4969716,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,71,30-54,37-53;29-63;24-61;29-47;30-56;30-61,29-63,2.37,88,-4,941.9352689,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,72,29-63,34-66;25-55;32-66;26-66;35-58;33-63,32-66,3.2,89,1,949.2054439,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,73,32-66,24-62;34-59;35-63;34-70;22-66;40-62,34-70,1.3,87,-2,954.5833454,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,74,34-70,42-65;25-68;28-66;31-70;25-67;35-62,25-68,2.87,82,-5,961.5427438999999,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,75,25-68,20-64;27-63;30-69;29-59;19-62;15-68,30-69,2.31,85,3,967.9409383999999,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,76,30-69,32-60;30-59;33-60;25-62;28-65;37-65,28-65,3.63,86,1,975.6479072000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,77,28-65,30-58;30-56;23-65;29-56;35-60;29-64,23-65,1.25,81,-5,980.9545995999999,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,78,23-65,24-58;26-57;21-63;16-64;28-66;21-60,28-66,2.78,86,5,987.8208447000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,79,28-66,23-70;27-62;30-67;21-67;28-58;24-64,27-62,4.67,87,1,996.5521207,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,0,0-0,7-5;1-0;5-4;8-3;1-4;0-9,Jan-00,8.27,2,1,1165.834365,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,1,Jan-00,10-2;6-3;3-0;9-4;8-2;8-6,Mar-00,3.51,6,4,1173.420051,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,2,Mar-00,9-3;7-2;5-5;1-8;1-0;6-5,Jan-00,3.22,2,-4,1180.710844,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,3,Jan-00,7-2;0-9;8-1;2-1;1-10;7-8,1-Aug,1.05,17,15,1185.821241,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,4,1-Aug,8-11;9-8;8-10;0-7;13-1;3-0,13-1,2.89,25,8,1192.784882,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,5,13-1,13-6;9-4;15-3;7-2;19-4;20-6,19-4,1.87,39,14,1198.726985,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,6,19-4,19-6;17-5;12-0;11-6;25-2;11-0,Dec-00,1.81,22,-17,1204.601017,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,7,Dec-00,7-0;11-2;6-2;9-2;11-1;6-1,1-Nov,1.08,22,0,1209.742814,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,8,1-Nov,12-2;6-9;15-9;4-2;4-0;6-6,Apr-00,2.2,8,-14,1216.007664,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,9,Apr-00,6-5;5-0;3-1;12-1;5-5;7-8,1-Mar,1.98,8,0,1222.04485,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,10,1-Mar,4-8;9-6;4-10;1-4;5-2;11-3,10-Apr,4.12,26,18,1230.216392,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,11,10-Apr,4-0;12-6;0-12;6-10;10-15;2-18,15-Oct,4.32,44,18,1238.589783,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,12,15-Oct,3-15;10-7;13-7;16-22;10-22;9-18,18-Sep,4.42,46,2,1247.083731,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,13,18-Sep,16-19;11-16;14-18;5-10;4-15;13-20,14-18,1.58,54,8,1252.7308369999998,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,2,SimpleHill,0-0,1,14,14-18,18-21;20-14;24-18;13-25;19-14;20-12,24-18,5.17,67,13,1261.967732,1
