subj_id,date,computer,experimenter,instructions,sight_radius,n_gabors,start_pos_list_ix,start_pos_list,landscape_ix,landscape_name,starting_pos,starting_score,trial,feedback,pos,stims,selected,rt,score,delta,exp_time
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,35,selected,32-64,34-70;36-67;38-62;26-69;29-65;39-64,34-70,1.91,86,-3,986.628118141
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,36,selected,34-70,33-65;36-69;31-68;31-65;31-64;28-69,31-64,2.17,88,2,992.368962295
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,37,selected,31-64,35-61;32-64;32-66;33-64;33-58;28-66,32-64,2.17,89,1,998.120104785
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,38,selected,32-64,34-67;30-70;31-68;31-64;25-63;34-60,34-60,2.61,92,3,1004.31867128
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,39,selected,34-60,38-56;33-64;32-58;39-56;35-53;36-59,38-56,3.42,96,4,1011.31041098
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,0,selected,0-0,1-0;2-2;7-2;0-4;2-3;7-0,2-3,6.49,9,9,1037.45909618
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,1,selected,2-3,7-1;7-4;6-8;7-9;8-6;10-3,8-6,4.48,26,17,1045.49805944
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,2,selected,8-6,14-3;3-9;13-2;9-0;15-5;10-3,3-9,5.48,22,-4,1054.53891893
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,3,selected,3-9,6-10;6-12;2-7;4-3;8-15;7-12,7-12,2.76,34,12,1060.86564758
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,4,selected,7-12,8-6;12-8;1-8;14-9;4-5;5-12,8-6,4.62,26,-8,1069.05776069
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,5,selected,8-6,5-11;9-13;12-5;4-4;8-0;9-11,9-13,4.15,39,13,1076.77946363
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,6,selected,9-13,5-15;16-15;11-17;13-11;8-19;6-10,16-15,4.43,52,13,1084.79371799
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,7,selected,16-15,22-10;21-18;11-20;18-14;13-22;18-16,18-14,5.04,53,1,1093.42394714
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,8,selected,18-14,24-18;17-10;19-15;14-20;13-18;11-14,13-18,7.83,52,-1,1104.82968038
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,9,selected,13-18,17-18;10-22;7-16;14-18;16-12;17-16,10-22,5.15,52,0,1113.54655121
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,10,selected,10-22,5-21;3-21;2-22;14-28;7-17;15-23,14-28,4.65,64,12,1121.76968577
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,11,selected,14-28,14-24;14-30;20-23;9-23;11-23;8-33,20-23,3.6,67,3,1128.92868435
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,12,selected,20-23,21-26;19-18;20-18;18-24;21-28;23-16,21-28,2.79,73,6,1135.28075921
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,13,selected,21-28,21-32;14-29;19-35;18-22;27-32;27-23,19-35,2.38,76,3,1141.21787064
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,14,selected,19-35,22-36;12-35;15-30;19-27;20-42;25-31,15-30,2.93,67,-9,1147.72427265
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,15,selected,15-30,12-26;12-36;18-34;17-34;20-34;8-31,12-36,2.19,67,0,1153.48051453
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,16,selected,12-36,14-32;6-34;11-36;12-38;7-41;9-35,9-35,3.68,61,-6,1160.74257169
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,17,selected,9-35,3-30;9-33;8-42;3-38;8-33;6-37,3-38,3.4,52,-9,1167.73767172
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,18,selected,3-38,7-42;0-41;9-34;1-33;0-34;8-43,9-34,2.41,61,9,1173.72919247
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,19,selected,9-34,12-36;13-34;7-33;12-34;14-32;8-29,12-34,3.41,66,5,1180.72127082
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,20,selected,12-34,16-38;15-32;15-40;12-27;15-38;6-29,16-38,3.88,74,8,1188.1632142
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,21,selected,16-38,21-38;12-40;23-37;10-40;18-38;22-37,10-40,3.21,66,-8,1194.93687232
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,22,selected,10-40,17-37;6-39;9-34;13-35;3-38;15-41,6-39,4.73,58,-8,1203.22609029
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,23,selected,6-39,8-36;7-42;0-36;7-45;1-40;0-44,7-45,2.5,62,4,1209.30476967
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,24,selected,7-45,11-42;2-45;9-47;12-50;2-50;9-41,9-41,2.55,64,2,1215.43210982
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,2,SimpleHill,0-0,0,25,selected,9-41,9-42;16-41;5-37;7-44;4-45;3-42,16-41,3.39,75,11,1222.39833942
