subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,21,17-19,17-14;20-25;18-17;25-22;12-11;11-11,20-25,2.66,70,10,1730.398701,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,22,20-25,21-18;12-30;14-25;17-19;29-27;27-19,29-27,3.7,81,11,1738.177412,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,23,29-27,28-35;29-24;21-22;26-25;27-27;29-26,27-27,4.24,79,-2,1746.500452,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,24,27-27,19-33;21-28;22-31;31-24;25-25;28-30,19-33,6.4,76,-3,1756.972798,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,25,19-33,21-24;16-37;23-33;26-38;16-28;16-32,16-28,1.63,68,-8,1762.678501,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,26,16-28,12-33;16-22;19-31;18-23;26-28;10-34,18-23,2.85,65,-3,1769.604152,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,27,18-23,15-28;18-20;11-22;25-25;12-15;19-18,19-18,2.29,61,-4,1775.965987,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,28,19-18,22-23;24-13;21-26;22-22;25-16;20-12,25-16,1.32,65,4,1781.3524670000004,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,29,25-16,22-7;26-14;34-15;17-13;32-15;25-9,34-15,2.01,71,6,1787.433638,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,30,34-15,35-23;31-6;28-15;36-16;28-9;29-12,28-15,3.57,66,-5,1795.077855,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,31,28-15,30-15;37-13;36-21;33-22;26-14;30-17,33-22,3.19,79,13,1802.351578,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,32,33-22,31-27;36-19;33-25;35-19;36-13;35-25,33-25,5.83,82,3,1812.261139,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,33,33-25,34-31;36-32;30-24;33-29;38-26;33-30,36-32,4.15,90,8,1820.47595,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,34,36-32,32-34;31-37;27-30;38-36;38-28;33-31,38-36,1.66,94,4,1826.219632,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,35,38-36,32-44;36-45;44-41;35-31;39-41;37-34,36-45,4.69,96,2,1834.987618,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,36,36-45,37-49;42-45;35-38;43-45;37-48;38-44,42-45,4.06,99,3,1843.120546,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,37,42-45,48-50;37-43;34-50;48-40;46-38;45-44,37-43,4.04,96,-3,1851.20918,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,38,37-43,36-43;36-37;31-43;40-45;31-51;44-38,40-45,3.89,98,2,1859.183385,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,2,SimpleHill,0-0,1,39,40-45,32-44;36-48;38-49;40-40;41-39;41-52,32-44,4.14,93,-5,1867.38955,1
